SK_ID_CURR,TARGET
100001,0.43
100005,0.48
100013,0.33
100028,0.37
100038,0.52
100042,0.38
100057,0.35
100065,0.51
100066,0.31
100067,0.53
100074,0.5
100090,0.54
100091,0.65
100092,0.45
100106,0.38
100107,0.63
100109,0.53
100117,0.36
100128,0.42
100141,0.37
100150,0.41
100168,0.34
100169,0.39
100170,0.4
100171,0.42
100172,0.55
100184,0.37
100187,0.45
100212,0.47
100222,0.36
100223,0.3
100232,0.29
100241,0.47
100245,0.33
100253,0.33
100256,0.6
100271,0.45
100278,0.58
100280,0.27
100306,0.65
100311,0.61
100312,0.38
100330,0.59
100331,0.37
100352,0.47
100358,0.5
100367,0.44
100382,0.58
100384,0.33
100385,0.46
100386,0.49
100399,0.36
100404,0.49
100416,0.26
100422,0.43
100426,0.37
100438,0.36
100444,0.52
100445,0.47
100446,0.54
100447,0.35
100450,0.33
100466,0.46
100483,0.29
100484,0.38
100494,0.45
100510,0.6
100512,0.36
100517,0.36
100548,0.3
100551,0.4
100552,0.66
100553,0.42
100561,0.54
100568,0.71
100569,0.26
100591,0.56
100592,0.31
100602,0.37
100607,0.33
100613,0.4
100617,0.54
100618,0.38
100622,0.64
100625,0.44
100677,0.54
100699,0.42
100702,0.66
100711,0.48
100729,0.63
100740,0.55
100744,0.6
100745,0.37
100747,0.52
100751,0.59
100752,0.46
100753,0.7
100754,0.56
100760,0.39
100762,0.58
100763,0.43
100765,0.27
100770,0.57
100772,0.25
100777,0.21
100791,0.41
100792,0.31
100797,0.35
100823,0.24
100826,0.4
100830,0.22
100836,0.58
100872,0.44
100910,0.49
100913,0.52
100918,0.44
100931,0.25
100952,0.37
100953,0.39
100965,0.67
100970,0.35
100982,0.55
100983,0.55
100984,0.38
100987,0.5
100997,0.54
100998,0.41
101002,0.55
101005,0.53
101008,0.5
101020,0.37
101021,0.4
101024,0.54
101025,0.59
101026,0.37
101031,0.33
101041,0.42
101051,0.33
101055,0.48
101056,0.67
101057,0.49
101064,0.32
101079,0.52
101087,0.38
101090,0.39
101092,0.48
101097,0.41
101099,0.24
101107,0.46
101118,0.37
101125,0.51
101126,0.35
101128,0.36
101136,0.5
101140,0.51
101149,0.48
101160,0.46
101169,0.49
101181,0.46
101186,0.21
101190,0.54
101193,0.45
101194,0.6
101198,0.49
101200,0.35
101204,0.27
101211,0.42
101213,0.55
101223,0.39
101225,0.39
101237,0.61
101243,0.38
101244,0.53
101258,0.29
101259,0.56
101268,0.63
101269,0.41
101271,0.52
101279,0.37
101281,0.49
101287,0.32
101292,0.41
101294,0.44
101296,0.44
101297,0.38
101299,0.42
101301,0.4
101305,0.49
101308,0.56
101318,0.28
101327,0.67
101329,0.43
101332,0.34
101337,0.35
101343,0.35
101345,0.28
101346,0.33
101353,0.4
101354,0.58
101355,0.49
101356,0.36
101362,0.49
101363,0.55
101365,0.31
101366,0.37
101367,0.56
101368,0.27
101374,0.54
101380,0.33
101383,0.31
101398,0.32
101399,0.65
101401,0.5
101412,0.41
101426,0.38
101427,0.7
101428,0.49
101429,0.5
101434,0.34
101440,0.41
101448,0.43
101449,0.49
101465,0.49
101467,0.4
101472,0.53
101478,0.55
101497,0.46
101504,0.39
101547,0.36
101548,0.56
101555,0.51
101570,0.34
101572,0.49
101578,0.36
101580,0.6
101588,0.55
101602,0.48
101610,0.58
101614,0.33
101616,0.48
101643,0.55
101644,0.4
101649,0.48
101650,0.48
101665,0.17
101667,0.51
101669,0.35
101674,0.43
101675,0.32
101678,0.48
101682,0.39
101686,0.43
101697,0.54
101700,0.67
101711,0.37
101714,0.35
101715,0.68
101728,0.41
101732,0.24
101757,0.55
101758,0.57
101759,0.44
101762,0.37
101764,0.39
101780,0.66
101784,0.38
101789,0.3
101816,0.34
101819,0.48
101827,0.24
101863,0.53
101867,0.38
101870,0.38
101873,0.71
101878,0.51
101879,0.44
101880,0.33
101887,0.43
101897,0.42
101901,0.48
101903,0.82
101920,0.4
101921,0.44
101922,0.37
101961,0.52
101962,0.33
101971,0.41
101976,0.5
102002,0.32
102005,0.35
102007,0.67
102017,0.37
102019,0.66
102029,0.29
102051,0.61
102052,0.31
102054,0.32
102062,0.41
102067,0.46
102068,0.49
102070,0.38
102090,0.52
102092,0.45
102099,0.61
102100,0.42
102112,0.34
102113,0.39
102122,0.61
102123,0.47
102125,0.4
102126,0.6
102146,0.45
102147,0.53
102151,0.45
102158,0.5
102159,0.32
102162,0.56
102165,0.46
102166,0.36
102174,0.37
102193,0.61
102198,0.36
102205,0.47
102206,0.29
102218,0.35
102221,0.3
102230,0.36
102238,0.41
102248,0.48
102252,0.54
102259,0.35
102262,0.52
102273,0.42
102286,0.6
102293,0.36
102294,0.26
102296,0.48
102298,0.39
102303,0.32
102309,0.43
102315,0.45
102340,0.28
102342,0.54
102344,0.38
102346,0.49
102347,0.34
102374,0.47
102380,0.34
102387,0.44
102393,0.42
102403,0.27
102413,0.5
102414,0.25
102415,0.43
102416,0.47
102439,0.37
102441,0.38
102443,0.39
102444,0.53
102445,0.61
102448,0.47
102449,0.39
102450,0.52
102456,0.37
102458,0.47
102459,0.33
102465,0.33
102470,0.6
102471,0.35
102475,0.35
102476,0.52
102506,0.46
102509,0.4
102519,0.28
102522,0.4
102545,0.44
102549,0.42
102562,0.15
102563,0.31
102568,0.56
102582,0.45
102592,0.37
102597,0.66
102605,0.37
102614,0.46
102617,0.47
102634,0.48
102652,0.35
102655,0.25
102671,0.49
102694,0.58
102701,0.35
102703,0.24
102704,0.29
102713,0.39
102720,0.63
102731,0.33
102733,0.45
102749,0.3
102755,0.48
102763,0.4
102770,0.36
102772,0.48
102799,0.63
102838,0.33
102854,0.43
102862,0.56
102863,0.4
102867,0.3
102868,0.35
102878,0.43
102887,0.57
102898,0.61
102904,0.39
102912,0.48
102919,0.29
102927,0.49
102932,0.33
102933,0.54
102935,0.37
102958,0.42
102969,0.37
102971,0.35
102975,0.32
102979,0.45
102982,0.29
102987,0.52
102989,0.41
102995,0.47
102996,0.4
103000,0.42
103001,0.54
103004,0.5
103010,0.35
103025,0.55
103029,0.42
103046,0.33
103056,0.28
103062,0.47
103078,0.28
103083,0.31
103092,0.5
103096,0.51
103097,0.52
103102,0.46
103112,0.44
103132,0.29
103144,0.42
103145,0.45
103146,0.46
103147,0.5
103158,0.31
103171,0.52
103173,0.44
103184,0.39
103195,0.63
103196,0.52
103206,0.34
103230,0.42
103231,0.65
103232,0.35
103239,0.45
103240,0.48
103243,0.42
103252,0.51
103258,0.45
103259,0.47
103279,0.28
103280,0.26
103286,0.34
103287,0.6
103290,0.28
103298,0.43
103315,0.31
103319,0.43
103334,0.55
103336,0.45
103345,0.3
103368,0.27
103371,0.56
103377,0.44
103398,0.33
103404,0.5
103408,0.66
103410,0.39
103418,0.36
103420,0.57
103432,0.46
103433,0.35
103436,0.23
103440,0.4
103453,0.45
103459,0.46
103460,0.39
103461,0.26
103462,0.42
103473,0.52
103474,0.3
103475,0.66
103478,0.51
103480,0.42
103484,0.3
103494,0.62
103513,0.41
103515,0.41
103516,0.56
103525,0.61
103541,0.39
103544,0.27
103562,0.52
103570,0.66
103572,0.54
103574,0.34
103575,0.36
103591,0.55
103594,0.43
103609,0.34
103613,0.4
103614,0.37
103615,0.44
103624,0.46
103625,0.56
103628,0.62
103629,0.45
103647,0.5
103648,0.52
103651,0.47
103658,0.32
103668,0.4
103669,0.4
103676,0.36
103682,0.46
103683,0.4
103689,0.3
103725,0.46
103733,0.49
103744,0.36
103762,0.5
103771,0.53
103773,0.42
103783,0.34
103784,0.35
103808,0.23
103812,0.43
103813,0.51
103814,0.35
103818,0.72
103824,0.44
103828,0.31
103830,0.59
103840,0.37
103842,0.5
103847,0.48
103848,0.49
103851,0.31
103854,0.63
103857,0.62
103861,0.3
103862,0.54
103865,0.46
103870,0.33
103876,0.38
103891,0.56
103908,0.38
103914,0.44
103918,0.36
103940,0.37
103963,0.45
103966,0.53
103971,0.36
103980,0.48
103984,0.48
103985,0.42
103998,0.64
104019,0.23
104026,0.39
104035,0.51
104044,0.44
104045,0.47
104047,0.62
104051,0.28
104058,0.44
104063,0.29
104066,0.54
104087,0.33
104089,0.33
104095,0.36
104098,0.47
104104,0.34
104110,0.71
104120,0.44
104122,0.23
104131,0.44
104132,0.48
104135,0.43
104136,0.33
104149,0.53
104150,0.34
104156,0.47
104165,0.38
104175,0.34
104179,0.42
104184,0.48
104206,0.37
104216,0.59
104230,0.64
104257,0.35
104272,0.42
104273,0.51
104278,0.3
104294,0.56
104295,0.35
104297,0.39
104298,0.38
104308,0.36
104318,0.35
104319,0.43
104320,0.53
104327,0.48
104334,0.48
104344,0.38
104350,0.4
104351,0.61
104354,0.39
104369,0.51
104376,0.46
104381,0.37
104384,0.41
104391,0.29
104394,0.41
104398,0.65
104402,0.3
104408,0.37
104409,0.34
104410,0.6
104412,0.39
104417,0.45
104424,0.49
104426,0.41
104435,0.53
104445,0.46
104458,0.31
104460,0.29
104466,0.4
104472,0.51
104473,0.54
104479,0.22
104480,0.26
104482,0.45
104499,0.37
104501,0.36
104502,0.32
104506,0.45
104510,0.39
104512,0.53
104520,0.5
104528,0.41
104529,0.29
104541,0.41
104578,0.4
104584,0.59
104588,0.59
104602,0.43
104610,0.36
104611,0.55
104618,0.53
104620,0.35
104622,0.32
104624,0.24
104625,0.49
104634,0.56
104639,0.43
104646,0.34
104647,0.32
104652,0.35
104670,0.44
104677,0.41
104685,0.53
104691,0.43
104696,0.39
104699,0.37
104712,0.53
104714,0.39
104717,0.46
104718,0.23
104740,0.45
104741,0.45
104743,0.29
104744,0.54
104747,0.46
104767,0.43
104772,0.7
104776,0.65
104779,0.33
104814,0.29
104815,0.38
104830,0.54
104831,0.56
104833,0.53
104839,0.4
104840,0.36
104860,0.45
104861,0.42
104866,0.48
104870,0.31
104877,0.55
104878,0.34
104879,0.42
104880,0.33
104899,0.42
104906,0.38
104907,0.45
104913,0.49
104916,0.52
104921,0.38
104930,0.49
104931,0.6
104936,0.33
104937,0.45
104942,0.42
104943,0.25
104969,0.46
104972,0.62
104988,0.47
105013,0.32
105015,0.31
105019,0.52
105027,0.46
105030,0.43
105035,0.8
105041,0.39
105051,0.49
105056,0.35
105067,0.76
105071,0.45
105072,0.31
105074,0.52
105091,0.29
105101,0.32
105103,0.38
105134,0.43
105139,0.32
105142,0.46
105146,0.33
105163,0.38
105168,0.56
105172,0.38
105176,0.56
105195,0.43
105196,0.42
105197,0.26
105203,0.57
105223,0.47
105227,0.42
105228,0.25
105230,0.53
105231,0.44
105239,0.39
105242,0.47
105244,0.38
105245,0.56
105248,0.34
105249,0.36
105266,0.53
105271,0.75
105276,0.45
105282,0.29
105292,0.61
105297,0.27
105332,0.61
105333,0.33
105343,0.38
105344,0.33
105345,0.66
105357,0.38
105359,0.4
105366,0.4
105367,0.6
105370,0.28
105377,0.5
105390,0.46
105399,0.38
105403,0.43
105404,0.34
105414,0.32
105417,0.4
105425,0.48
105452,0.36
105454,0.37
105456,0.44
105470,0.43
105471,0.31
105483,0.43
105493,0.47
105508,0.46
105514,0.38
105515,0.3
105528,0.66
105529,0.35
105531,0.47
105532,0.41
105558,0.25
105574,0.3
105578,0.27
105584,0.63
105595,0.56
105617,0.45
105618,0.41
105621,0.34
105625,0.39
105629,0.4
105630,0.23
105634,0.29
105635,0.34
105641,0.6
105647,0.52
105648,0.45
105655,0.34
105657,0.38
105672,0.4
105678,0.57
105682,0.53
105691,0.41
105692,0.29
105706,0.54
105712,0.35
105720,0.52
105734,0.33
105735,0.33
105736,0.59
105737,0.33
105738,0.49
105740,0.64
105744,0.44
105747,0.39
105749,0.7
105754,0.49
105758,0.36
105760,0.35
105767,0.56
105784,0.68
105791,0.35
105802,0.54
105807,0.57
105809,0.49
105816,0.36
105817,0.43
105824,0.47
105832,0.52
105856,0.33
105865,0.42
105899,0.58
105906,0.25
105916,0.44
105923,0.49
105937,0.59
105965,0.31
105966,0.48
105968,0.41
105973,0.37
105976,0.63
105978,0.55
105979,0.41
105991,0.59
105998,0.55
105999,0.56
106000,0.51
106001,0.45
106010,0.42
106011,0.46
106013,0.46
106015,0.28
106026,0.26
106032,0.39
106035,0.7
106040,0.49
106041,0.59
106044,0.35
106053,0.66
106054,0.32
106065,0.66
106081,0.43
106083,0.46
106087,0.28
106090,0.57
106101,0.29
106102,0.47
106109,0.51
106116,0.48
106150,0.38
106155,0.58
106166,0.29
106176,0.46
106189,0.37
106199,0.33
106205,0.48
106206,0.57
106211,0.46
106214,0.31
106216,0.47
